+----+----------+------------+-------+
| #  | Hostname | IP Address | Type  |
+----+----------+------------+-------+
| 1  |          | 10.3.8.2   | Agent |
| 2  | INU      | 10.3.8.3   | Agent |
| 3  | LENOVO   | 10.3.8.4   | Agent |
| 4  |          | 10.3.8.5   | Agent |
| 5  | pc       | 10.3.8.6   | Agent |
| 6  | INU      | 10.3.8.7   | Agent |
| 7  | INU      | 10.3.8.8   | Agent |
| 8  | INU      | 10.3.8.9   | Agent |
| 9  | INU      | 10.3.8.10  | Agent |
| 10 | INU      | 10.3.8.11  | Agent |
| 11 | INU      | 10.3.8.12  | Agent |
| 12 | INU      | 10.3.8.13  | Agent |
| 13 | INU      | 10.3.8.14  | Agent |
| 14 | INU_7    | 10.3.8.15  | Agent |
| 15 | INU      | 10.3.8.16  | Agent |
| 16 | INU      | 10.3.8.17  | Agent |
| 17 | inu      | 10.3.8.18  | Agent |
| 18 | INU      | 10.3.8.19  | Agent |
| 19 | INU      | 10.3.8.20  | Agent |
| 20 | INU      | 10.3.8.21  | Agent |
| 21 | INU      | 10.3.8.22  | Agent |
| 22 | pc       | 10.3.8.23  | Agent |
| 23 | pc       | 10.3.8.24  | Agent |
| 24 | INU      | 10.3.8.25  | Agent |
| 25 | pc       | 10.3.8.26  | Agent |
| 26 | INU      | 10.3.8.27  | Agent |
| 27 | inu-pc   | 10.3.8.28  |       |
| 28 | INU      | 10.3.8.29  | Agent |
| 29 | INU      | 10.3.8.30  | Agent |
| 30 | pc       | 10.3.8.31  | Agent |
| 31 | INU21    | 10.3.8.32  | Agent |
| 33 | INU21    | 10.3.8.34  | Agent |
| 34 | INU^     | 10.3.8.35  | Agent |
| 35 | INU32    | 10.3.8.36  | Agent |
| 36 | LENOVO   | 10.3.8.37  | Agent |
| 37 | INU      | 10.3.8.38  | Agent |
| 38 | INU      | 10.3.8.39  | Agent |
| 39 | INU      | 10.3.8.40  | Agent |
| 40 | INU      | 10.3.8.41  | Agent |
| 41 |          | 10.3.8.42  |       |
| 42 | INU_1    | 10.3.8.43  | Agent |
| 43 | INU      | 10.3.8.44  | Agent |
| 44 | INU      | 10.3.8.45  | Agent |
| 45 | INU      | 10.3.8.46  | Agent |
| 46 | inu_0    | 10.3.8.47  | Agent |
| 47 | INU      | 10.3.8.48  | Agent |
+----+----------+------------+-------+

Notes:
- Row #32 appears cut off between the two images (10.3.8.33 missing)
- Rows 27 and 41 have no Agent status — likely offline/disconnected nodes
